FID,Id,Year,IDENT,Comment,Comments,X_Coord,Y_Coord
0,1,2016,NM-2,Locust, ,-106.432921905052,35.8133822528377
1,2,2016,NM-2,Locust, ,-106.432789893124,35.8128092629257
2,3,2016,NM-3,Aspen, ,-106.433266374787,35.8137260246358
3,4,2016,NM-8,Locust,Maybe more room for locust here?,-106.345343890716,35.8788093919024
4,5,2016,NM-13,Aspen, ,-106.38197164147,35.8324562478051
5,6,2016,NM-13,Oak, ,-106.382178738435,35.8333626428154
6,7,2016,NM-13,Oak, ,-106.383097345571,35.8330925502677
7,8,2016,NM-15,Oak, ,-106.391327975545,35.8277518929226
8,9,2016,NM-16,Locust, ,-106.405266354778,35.8365096189824
9,10,2016,NM-26,Oak, ,-106.430451226667,35.8099614009763
10,11,2016,NM-26,Locust,Inferring from pics,-106.430069264569,35.8105026415049
11,12,2016,NM-30,Oak, ,-106.415819714807,35.772939550176
12,13,2016,NM-28,Oak, ,-106.415453796789,35.7814762263778
13,14,2016,NM-32,Oak, ,-106.395418274424,35.7674905066451
14,15,2016,NM-38,Aspen, ,-106.363224209604,35.8811118120483
15,16,2016,NM-38,Aspen, ,-106.363426427249,35.8809395633646
16,17,2016,NM-40,Aspen,Older aspen,-106.39818582431,35.8987031980471
17,18,2016,NM-45,Oak, ,-106.38375238095,35.8404699574253
18,19,2016,NM-45,Aspen,"Flag, not sure of aspen",-106.38383532541,35.8409275553361
19,20,2017,V15,Aspen,"Flag, too sparse?",-106.617948225019,35.8467780947372
20,21,2017,V16,Aspen,"Flag, not sure this is aspen in notes, no pics",-106.51121070805,35.8200166393912
21,22,2017,V18,Aspen,could be a mixed site,-106.471239715458,35.8236679836195
22,23,2017,V19,Aspen,Pics look like this is a stand of aspen,-106.468605953413,35.8201218719473
23,24,2017,V22,Locust,Could be too small,-106.377268274567,35.8327357789199
24,25,2017,V22,Oak,Could be too small,-106.377285632806,35.8326554331728
25,26,2017,V23,Oak,Too small?,-106.330337591297,35.827623116639
26,27,2017,V24,Oak, ,-106.326795591735,35.8259975335004
27,28,2017,V25,Aspen,"Could be a stretch, mention of locust cant see",-106.423483084397,35.7983291692878
28,29,2017,V27,Oak, ,-106.39460852394,35.7667587264393
29,30,2017,V26,Oak, ,-106.39334085577,35.7665176582676
30,31,2017,V28,Oak, ,-106.394778342894,35.7670349614872
31,32,2017,V30,Oak, ,-106.401708868662,35.770354095082
32,33,2016,NM-2,Locust,Too close to another point?,-106.432775330125,35.8131213404889
33,34,2016,NM-3,Locust,Could add more locust points here,-106.433099706687,35.8137087239829
34,35,2016,NM-15,Oak, ,-106.391422450873,35.8279069943523
35,36,2016,NM-30,Oak,Could add more oaks I think,-106.417695433374,35.7733367773675
36,37,2016,NM-31,Oak,Maybe too small?,-106.40238641002,35.7709196671372
37,38,2016,NM-36,Oak, ,-106.318401618179,35.8260694350238
38,39,2016,NM-40,Aspen,Older aspen,-106.399506285486,35.8988385375649
39,40,2016,NM-43,Oak,"Could be mix, look for more aspen here",-106.365886107848,35.8828613010664
40,41,2017,V8,Oak, ,-106.300035110544,35.8100045814438
41,42,2017,V12,Oak,Google Maps,-106.363525956525,35.8357213141635
42,43,2017,V12,Oak,Google Maps,-106.361824156115,35.8359180815523
43,44,2017,V20,Aspen,not 100%,-106.456549655036,35.8220087036319
44,45,2017,V23,Oak,Google Maps,-106.328819339292,35.8286638484663
45,46,2017,V23,Oak,concerned about gap in oaks,-106.330188406773,35.8280738355568
46,47,2016,NM-3,Locust,"No pics, inferring",-106.43201264463,35.8139529381671
47,48,2018,NM-3,Locust,"No pics, inferring",-106.431995039371,35.8137879651743
48,49,2016,NM-14,Locust,Google maps,-106.381088261385,35.831998746872
49,50,2016,NM-14,Locust,Google maps,-106.385934188772,35.8309540897809
50,51,2016,NM-25,Aspen,too small?,-106.442567405345,35.8270221744397
51,52,2016,NM-26,Locust,Inferring from pics,-106.429715431408,35.810215016551
52,53,2016,NM-27,Aspen,"See V25, infer, some locust in us",-106.423883706486,35.7982028829825
53,54,2016,NM-27,Aspen,"Inferring from pics, V25 site, some locust in us",-106.423495061769,35.7985742286495
54,55,2016,NM-40,Aspen,large aspen,-106.398452649866,35.8982638243698
55,56,2017,V18,Aspen,inferring,-106.470945347312,35.8236795997496
56,57,2017,V18,Aspen,inferring,-106.471249832402,35.8239907311661
57,58,2017,V20,Aspen,"Inferring, too close to other pt?",-106.45668638232,35.8217929881507
58,59,2016,NM-25,Aspen, ,-106.442792116499,35.8270139163325
59,60,2016,NM-26,Locust, ,-106.430218669527,35.8101088670229
