system:index,20200102,20200104,20200107,20200109,20200112,20200114,20200117,20200119,20200122,20200124,20200127,20200129,20200201,20200203,20200206,20200208,20200211,20200213,20200216,20200218,20200221,20200223,20200226,20200228,20200302,20200304,20200307,20200309,20200312,20200314,20200317,20200319,20200322,20200324,20200327,20200329,20200401,20200403,20200406,20200408,20200411,20200413,20200416,20200418,20200421,20200423,20200426,20200428,20200501,20200503,20200506,20200508,20200511,20200513,20200516,20200518,20200521,20200523,20200526,20200528,20200531,20200602,20200605,20200607,20200610,20200612,20200615,20200617,20200620,20200622,20200625,20200627,20200630,20200702,20200705,20200707,20200710,20200712,20200715,20200717,20200720,20200722,20200725,20200727,20200730,20200801,20200804,20200806,20200809,20200811,20200814,20200816,20200819,20200821,20200824,20200826,20200829,20200831,20200903,20200905,20200908,20200910,20200913,20200915,20200918,20200920,20200923,20200925,20200928,20200930,20201003,20201005,20201008,20201010,20201013,20201015,20201018,20201020,20201023,20201025,20201028,20201030,20201102,20201104,20201107,20201109,20201112,20201114,20201117,20201119,20201122,20201124,20201127,20201129,20201202,20201204,20201207,20201209,20201212,20201214,20201217,20201219,20201222,20201224,20201227,20201229,Id,.geo
20200102T175729_20200102T180326_T13SCV_00000000000000000005,-9999,4084,2468,-9999,2824,2776,-9999,-9999,3200,2545,-9999,2698,2565,-9999,4071,2573,-9999,-9999,2321,2584,-9999,3636,2265,-9999,2412,2436,-9999,2671,-9999,2936,-9999,-9999,-9999,2305,-9999,2367,2173,2483,2153,2410,2199,-9999,2275,-9999,2834,2848,2474,2541,2273,2611,2372,2788,-9999,3044,2988,3396,3114,3679,3250,2392,2304,-9999,-9999,3626,3130,3557,3680,3486,3294,3561,3433,3733,3154,3895,3865,3863,3051,-9999,-9999,2806,3286,1939,-9999,2746,2920,2372,2959,3793,-9999,-9999,-9999,3204,2825,3265,2952,3118,-9999,3706,2790,3144,2773,-9999,2776,2946,2680,3050,1064,2922,3357,2935,2652,2926,2582,2827,2651,2745,2615,2819,2592,-9999,-9999,2859,2582,2859,-9999,-9999,-9999,2813,2530,2755,2477,-9999,-9999,2962,-9999,2762,2595,2834,-9999,-9999,3960,3010,2818,2914,-9999,5050,6,"{""type"":""Point"",""coordinates"":[-106.38217778540753,35.8333627651958]}"
20200102T175729_20200102T180326_T13SCV_00000000000000000006,-9999,-9999,2320,-9999,2480,2456,-9999,4165,2654,2308,-9999,2405,2350,-9999,3270,2343,-9999,-9999,2186,2406,-9999,3691,2153,-9999,2247,2313,-9999,2539,-9999,2555,-9999,-9999,-9999,2360,-9999,2290,2155,2439,2131,2373,2221,-9999,2238,-9999,2923,2850,2444,2646,2324,2615,2408,2857,-9999,3127,2969,3525,3321,3992,3528,3271,2360,-9999,-9999,3641,3165,3774,3880,3724,3394,3819,3554,3854,3185,-9999,3809,4058,3142,-9999,-9999,3007,3487,1411,-9999,2722,3004,3796,3008,3997,2998,3606,-9999,3413,2778,3391,2850,3213,-9999,3660,2855,3214,2733,-9999,2882,3051,2740,3077,-9999,2909,2593,2859,2568,2702,2401,2543,2347,2547,2411,2537,2383,-9999,-9999,2705,2462,2690,-9999,-9999,3544,2796,2348,2576,2307,-9999,-9999,2628,-9999,2558,2374,2611,-9999,-9999,3846,2666,2429,2586,-9999,3931,7,"{""type"":""Point"",""coordinates"":[-106.38309634574902,35.833092640760576]}"
20200102T175729_20200102T180326_T13SCV_00000000000000000007,-9999,-9999,2123,-9999,2279,2108,-9999,-9999,-9999,2877,-9999,2115,2111,-9999,4298,2092,-9999,-9999,1912,2136,-9999,-9999,1886,-9999,2150,2076,2045,2226,-9999,2161,-9999,-9999,-9999,2220,-9999,2253,2079,2271,2042,2300,2117,-9999,2123,-9999,2626,1855,2640,2448,2232,2620,2353,2745,-9999,2718,2399,2797,2569,3095,2761,1750,3680,-9999,2896,3110,2836,3285,3082,3194,2909,2998,3114,3507,2841,4193,-9999,3631,2863,-9999,-9999,3821,3205,3796,-9999,1800,2766,3200,2465,1979,614,2287,-9999,2950,2487,2857,2519,2880,-9999,3288,2460,2852,2483,-9999,2373,2712,2487,2546,-9999,2545,1539,2529,2279,2423,2191,2221,1975,2256,1988,2136,2089,-9999,-9999,2330,2111,2292,-9999,-9999,2689,3106,1974,2139,2786,-9999,-9999,2178,-9999,2184,1959,2205,-9999,-9999,4284,2305,1954,2233,-9999,5307,8,"{""type"":""Point"",""coordinates"":[-106.3913288076241,35.827752801109455]}"
20200102T175729_20200102T180326_T13SCV_00000000000000000022,-9999,-9999,2203,-9999,2348,2307,-9999,-9999,-9999,2957,-9999,2232,2061,-9999,-9999,2093,-9999,-9999,2017,2205,-9999,-9999,1970,-9999,2279,2166,1745,2412,-9999,2377,-9999,-9999,-9999,2272,-9999,2298,2137,2373,2065,2368,2176,-9999,2219,-9999,2744,1496,2614,2518,2259,2623,2323,2770,-9999,2975,2645,3304,3062,3568,3151,1484,3755,-9999,3051,3980,3389,3825,3467,3727,3508,3594,3502,4198,3323,5024,-9999,4143,3190,-9999,-9999,3874,3618,3979,-9999,1920,3163,3610,2878,2664,694,2580,-9999,3290,2771,3298,2840,3213,-9999,3902,2752,3219,2681,-9999,2694,2970,2635,2958,-9999,2904,1788,2888,2503,2695,2353,2419,2149,2317,2189,2289,2187,-9999,-9999,2807,2235,2483,-9999,-9999,2725,3151,2007,2240,2626,-9999,-9999,2378,-9999,2245,1967,2176,-9999,-9999,-9999,2567,2043,2196,-9999,5636,35,"{""type"":""Point"",""coordinates"":[-106.39142494007488,35.82790831612412]}"
20200102T175729_20200102T180326_T13SCV_00000000000000000009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3588,-9999,-9999,3150,3296,2894,-9999,2316,2774,2253,2253,2114,2120,-9999,2081,-9999,-9999,-9999,2160,-9999,2458,2055,2326,2002,2336,2066,-9999,2114,-9999,-9999,2628,2352,2546,2260,2642,2250,2761,-9999,2927,2897,3224,2885,3465,2938,3753,2813,-9999,-9999,3524,3017,3600,2914,3485,3087,3452,3143,3799,2956,2855,-9999,2817,2861,-9999,-9999,3904,3359,-9999,-9999,3362,2589,3130,2577,2137,2991,-9999,-9999,3054,2700,3148,2743,2990,3061,-9999,2504,2925,2572,-9999,2376,2767,2435,2743,-9999,2607,3130,2565,2228,2448,2137,2283,1946,2294,2000,2256,2054,-9999,-9999,2953,2064,2383,-9999,-9999,2026,4063,1952,2197,2181,-9999,983,-9999,-9999,2128,1853,2074,-9999,-9999,-9999,-9999,2495,-9999,-9999,6166,10,"{""type"":""Point"",""coordinates"":[-106.43045353231815,35.809961498396035]}"
20200102T175729_20200102T180326_T13SCV_0000000000000000000c,-9999,4260,2629,-9999,2782,2712,-9999,-9999,-9999,3339,-9999,2750,2713,-9999,-9999,2645,-9999,-9999,2609,1921,2542,-9999,1891,2014,1954,2070,2720,-9999,-9999,2136,-9999,-9999,-9999,2146,-9999,2202,1910,2176,1910,2142,1870,-9999,1979,2581,2578,1264,2393,2461,2036,2430,2150,2623,-9999,3035,3095,3817,3321,3886,3303,4463,4383,-9999,-9999,4110,3294,3931,3095,3761,3379,3789,3133,3988,3078,-9999,3551,4243,3085,3742,-9999,4021,3170,4166,-9999,3874,2962,3446,2712,3739,3204,-9999,-9999,3220,2765,3262,2782,3116,3138,1518,2559,3073,2521,-9999,2492,2913,2483,2827,1166,2738,-9999,2679,2431,2653,2169,2398,2015,2198,1855,2165,1911,-9999,-9999,3031,1941,1911,-9999,-9999,1874,2118,1803,2084,1846,-9999,-9999,2161,-9999,2049,1687,2044,-9999,-9999,-9999,-9999,1971,2140,-9999,-9999,13,"{""type"":""Point"",""coordinates"":[-106.41545525185164,35.781476073383836]}"
20200102T175729_20200102T180326_T13SCV_0000000000000000000b,-9999,3967,3221,-9999,3047,3392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1851,-9999,-9999,-9999,8617,-9999,2252,-9999,2295,1955,2136,1962,2208,1924,-9999,2118,2484,2689,3491,2340,2484,2081,2598,2400,2953,-9999,3562,3408,4038,3334,4068,3490,4391,3775,-9999,-9999,4164,3331,4050,3629,4018,3444,4033,3655,3909,3279,4629,3698,4229,3395,3029,-9999,3730,3419,4466,-9999,4379,-9999,3807,3199,4490,3629,-9999,-9999,3634,3160,3619,3218,3510,3359,2799,2971,3393,2825,-9999,2915,3300,2833,3269,-9999,2935,2957,2730,2489,2522,2074,2531,2154,2231,1758,2289,1850,-9999,-9999,-9999,-9999,2142,-9999,-9999,1787,1975,1678,1895,1651,-9999,-9999,-9999,-9999,-9999,2011,2330,-9999,-9999,2901,3284,2661,-9999,-9999,-9999,12,"{""type"":""Point"",""coordinates"":[-106.41582008357761,35.77293774611232]}"
20200102T175729_20200102T180326_T13SCV_00000000000000000023,-9999,-9999,-9999,-9999,-9999,4115,-9999,-9999,-9999,-9999,-9999,-9999,3040,-9999,-9999,2697,-9999,-9999,-9999,2597,2585,-9999,1736,2132,1885,1943,1849,1342,-9999,1353,-9999,-9999,-9999,1822,-9999,2116,1968,2071,1760,2057,1814,-9999,1877,2170,2178,2317,2401,2306,1920,2348,2102,2518,-9999,2786,2668,3119,2794,3316,2708,3576,3497,-9999,-9999,3241,2733,3361,2687,3243,2707,3247,2713,3008,2676,-9999,3011,3354,2883,3196,-9999,2958,2921,3288,-9999,3259,-9999,3114,2358,3668,565,-9999,-9999,3056,2613,2995,2753,2911,2917,2712,2477,2923,2429,-9999,2378,2796,2453,2793,-9999,2716,2399,2682,2315,2566,2176,2401,2091,2303,2099,2332,2110,-9999,-9999,-9999,1937,2272,-9999,-9999,2062,2287,1972,2271,2012,-9999,-9999,-9999,-9999,2232,1928,2175,-9999,-9999,4000,3053,2068,2314,-9999,-9999,36,"{""type"":""Point"",""coordinates"":[-106.41769421551739,35.773336325019855]}"
20200102T175729_20200102T180326_T13SCV_00000000000000000024,-9999,-9999,-9999,-9999,-9999,4164,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3469,-9999,-9999,-9999,-9999,-9999,-9999,1853,2198,2015,2006,1951,3116,-9999,1975,-9999,-9999,-9999,2104,-9999,2064,933,2212,1933,2155,1962,-9999,2144,488,622,2514,2411,2411,2129,2500,2352,2262,-9999,2936,2695,3218,2724,3402,2870,3577,3635,-9999,3189,3373,2727,3256,2928,3093,2757,3155,2932,3359,2771,3971,2972,3685,2549,-9999,-9999,2924,2807,2501,-9999,1596,2640,2982,2482,3326,2880,-9999,-9999,2735,2466,2862,2569,2665,2770,2097,2485,2790,2438,-9999,2309,2560,2411,2616,1676,2569,-9999,2544,2211,2337,2192,2476,2194,2398,2143,2474,2173,-9999,-9999,3708,1996,2176,-9999,-9999,2150,2285,2064,2316,2066,-9999,-9999,2609,-9999,2291,1988,2293,-9999,-9999,4152,-9999,2352,2352,-9999,-9999,37,"{""type"":""Point"",""coordinates"":[-106.40238576875416,35.770920268413064]}"
